src_ip,dst_ip,src_port,dst_port,protocol,bytes,attack_type
192.168.1.221,149.154.167.51,64595,443,TCP,54,NORMAL
162.159.136.234,192.168.1.221,443,64445,TCP,88,NORMAL
192.168.1.221,162.159.136.234,64445,443,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,192.168.1.163,53868,8009,TCP,164,DDOS_OR_BRUTE_FORCE
192.168.1.221,192.168.1.163,53867,8009,TCP,164,DDOS_OR_BRUTE_FORCE
192.168.1.221,192.168.1.163,53868,8009,TCP,164,NORMAL
192.168.1.221,192.168.1.163,53867,8009,TCP,164,DDOS_OR_BRUTE_FORCE
192.168.1.221,192.168.1.163,53868,8009,TCP,164,NORMAL
192.168.1.221,192.168.1.163,53867,8009,TCP,164,DDOS_OR_BRUTE_FORCE
192.168.1.221,192.168.1.163,53868,8009,TCP,164,NORMAL
192.168.1.221,192.168.1.163,53867,8009,TCP,164,DDOS_OR_BRUTE_FORCE
192.168.1.163,192.168.1.221,8009,53868,TCP,66,NORMAL
192.168.1.163,192.168.1.221,8009,53867,TCP,66,DDOS_OR_BRUTE_FORCE
192.168.1.163,192.168.1.221,8009,53868,TCP,66,DDOS_OR_BRUTE_FORCE
192.168.1.163,192.168.1.221,8009,53867,TCP,66,DDOS_OR_BRUTE_FORCE
192.168.1.163,192.168.1.221,8009,53868,TCP,66,DDOS_OR_BRUTE_FORCE
192.168.1.163,192.168.1.221,8009,53867,TCP,66,DDOS_OR_BRUTE_FORCE
192.168.1.163,192.168.1.221,8009,53868,TCP,164,DDOS_OR_BRUTE_FORCE
192.168.1.163,192.168.1.221,8009,53867,TCP,164,DDOS_OR_BRUTE_FORCE
192.168.1.221,192.168.1.163,53868,8009,TCP,54,NORMAL
192.168.1.221,192.168.1.163,53867,8009,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.51,64595,443,TCP,207,NORMAL
192.168.1.163,224.0.0.251,5353,5353,UDP,658,NORMAL
149.154.167.51,192.168.1.221,443,64595,TCP,54,NORMAL
149.154.167.41,192.168.1.221,443,53786,TCP,54,NORMAL
149.154.167.41,192.168.1.221,443,53797,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53786,443,TCP,54,NORMAL
192.168.1.221,149.154.167.41,53797,443,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53786,443,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53797,443,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.41,192.168.1.221,443,53792,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53792,443,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53792,443,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.41,192.168.1.221,443,53796,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.51,192.168.1.221,443,53790,TCP,54,NORMAL
192.168.1.221,149.154.167.41,53796,443,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.51,53790,443,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.41,192.168.1.221,443,53785,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53796,443,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53785,443,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.41,192.168.1.221,443,53787,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.41,192.168.1.221,443,53795,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.51,53790,443,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53787,443,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53795,443,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53785,443,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53787,443,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53795,443,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.51,53896,443,TCP,66,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.51,53897,443,TCP,66,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53898,443,TCP,66,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53899,443,TCP,66,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.51,53900,443,TCP,66,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.51,53901,443,TCP,66,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53903,443,TCP,66,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53902,443,TCP,66,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.51,53904,443,TCP,66,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.51,53905,443,TCP,66,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53906,443,TCP,66,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53907,443,TCP,66,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.51,53908,443,TCP,66,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53909,443,TCP,66,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.51,53910,443,TCP,66,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53911,443,TCP,66,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53912,80,TCP,66,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.51,53913,80,TCP,66,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53915,80,TCP,66,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.51,53914,80,TCP,66,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.51,53916,80,TCP,66,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.51,53917,80,TCP,66,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53918,80,TCP,66,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53919,80,TCP,66,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53920,80,TCP,66,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.51,53921,80,TCP,66,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53922,80,TCP,66,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.51,53923,80,TCP,66,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.51,53924,80,TCP,66,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53925,80,TCP,66,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53926,80,TCP,66,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.51,53927,80,TCP,66,DDOS_OR_BRUTE_FORCE
149.154.167.51,192.168.1.221,443,53790,TCP,54,NORMAL
149.154.167.41,192.168.1.221,443,53792,TCP,54,NORMAL
149.154.167.41,192.168.1.221,443,53797,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.41,192.168.1.221,443,53785,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.41,192.168.1.221,443,53796,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.41,192.168.1.221,443,53795,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.41,192.168.1.221,443,53786,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.51,192.168.1.221,443,53897,TCP,66,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.51,53897,443,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.51,192.168.1.221,443,53896,TCP,66,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.51,53896,443,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.51,53897,443,TCP,231,DDOS_OR_BRUTE_FORCE
149.154.167.41,192.168.1.221,443,53787,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.51,192.168.1.221,443,53901,TCP,66,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.51,53896,443,TCP,391,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.51,53901,443,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.41,192.168.1.221,443,53898,TCP,66,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53898,443,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.51,53901,443,TCP,299,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53898,443,TCP,223,DDOS_OR_BRUTE_FORCE
149.154.167.41,192.168.1.221,443,53902,TCP,66,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53902,443,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53902,443,TCP,295,DDOS_OR_BRUTE_FORCE
149.154.167.41,192.168.1.221,443,53899,TCP,66,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53899,443,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.41,192.168.1.221,443,53903,TCP,66,DDOS_OR_BRUTE_FORCE
149.154.167.51,192.168.1.221,443,53900,TCP,66,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53903,443,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.51,53900,443,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.51,192.168.1.221,443,53908,TCP,66,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.51,53908,443,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.41,192.168.1.221,443,53907,TCP,66,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53907,443,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53899,443,TCP,363,DDOS_OR_BRUTE_FORCE
